,area,district,metro,metro_distance,metro_num,price,square,S,title,type
0,42 ㎡06/6层2室1厅,徐汇,距3号线龙漕路站173米,173,173.0,4830,42,42.0,整租 · 上缝小区2居室-南,整租
1,68.65 ㎡06/6层2室1厅,徐汇,距11号线龙耀路站757米,757,757.0,5130,68.65,68.65,整租 · 滨江小区2居室-南,整租
2,30.37 ㎡06/6层1室1厅,徐汇,距4号线上海体育馆站236米,236,236.0,4690,30.37,30.37,整租 · 中原新村1居室-南,整租
3,49.15 ㎡01/6层2室1厅,徐汇,距3号线石龙路站243米,243,243.0,4790,49.15,49.15,整租 · 东泉小区2居室-南,整租
4,33.17 ㎡04/6层1室1厅,徐汇,距4号线东安路站488米,488,488.0,4490,33.17,33.17,整租 · 斜土路2200弄1居室-南,整租
5,71.45 ㎡05/7层2室1厅,徐汇,距3号线上海南站站552米,552,552.0,6130,71.45,71.45,整租 · 华东花苑2居室-南北,整租
6,23.09 ㎡5/5层1室1厅,徐汇,距4号线大木桥路站200米,200,200.0,3960,23.09,23.09,整租 · 日晖六村1居室-北,整租
7,34.71 ㎡05/5层1室1厅,徐汇,距4号线东安路站547米,547,547.0,4530,34.71,34.71,整租 · 谨斜小区1居室-南,整租
8,54 ㎡06/6层2室1厅,徐汇,距1号线上海南站站782米,782,782.0,5190,54,54.0,整租 · 汇成一村2居室-南,整租
9,40.76 ㎡02/6层2室1厅,徐汇,距4号线大木桥路站188米,188,188.0,6130,40.76,40.76,整租 · 日晖二村2居室-南,整租
10,32.5 ㎡04/6层1室1厅,徐汇,距1号线徐家汇站423米,423,423.0,199,32.5,32.5,整租 · 乐山二村1居室-南,整租
11,41.23 ㎡01/6层1室1厅,徐汇,距9号线宜山路站281米,281,281.0,4690,41.23,41.23,整租 · 柿子湾小区1居室-南,整租
12,64 ㎡01/6层2室1厅,徐汇,距3号线上海南站站552米,552,552.0,5160,64,64.0,整租 · 华东花苑2居室-南,整租
13,33.72 ㎡01/5层1室1厅,徐汇,距4号线大木桥路站188米,188,188.0,4730,33.72,33.72,整租 · 日晖二村1居室-南,整租
14,59.91 ㎡04/7层1室1厅,徐汇,距3号线石龙路站379米,379,379.0,4560,59.91,59.91,整租 · 天龙苑1居室-南,整租
15,36.37 ㎡03/4层1室1厅,徐汇,距7号线东安路站188米,188,188.0,4230,36.37,36.37,整租 · 东安二村1居室-南,整租
16,40 ㎡05/6层1室1厅,徐汇,距3号线龙漕路站173米,173,173.0,4590,40,40.0,整租 · 上缝小区1居室-南,整租
17,41 ㎡02/5层1室1厅,徐汇,距4号线大木桥路站188米,188,188.0,4490,41,41.0,整租 · 日晖二村1居室-南,整租
18,33.21 ㎡01/5层1室1厅,徐汇,距7号线肇嘉浜路站321米,321,321.0,4560,33.21,33.21,整租 · 百安小区1居室-南,整租
19,32.1 ㎡06/7层1室1厅,徐汇,距1号线上海体育馆站227米,227,227.0,5690,32.1,32.1,整租 · 裕德路66弄1居室-南,整租
20,33 ㎡05/6层1室1厅,徐汇,距3号线龙漕路站85米,85,85.0,4490,33,33.0,整租 · 诸家宅小区1居室-南,整租
21,41 ㎡02/6层1室1厅,徐汇,距1号线上海南站站386米,386,386.0,4360,41,41.0,整租 · 康宁坊1居室-南,整租
22,42 ㎡05/5层1室1厅,徐汇,距4号线大木桥路站90米,90,90.0,4990,42,42.0,整租 · 江南新村(徐汇)1居室-南,整租
23,45.93 ㎡03/5层1室1厅,徐汇,距4号线大木桥路站90米,90,90.0,5160,45.93,45.93,整租 · 江南新村(徐汇)1居室-南,整租
24,33.86 ㎡01/6层1室1厅,徐汇,距4号线大木桥路站252米,252,252.0,4960,33.86,33.86,整租 · 大木桥路450弄1居室-南,整租
25,35.04 ㎡02/7层1室1厅,徐汇,距7号线东安路站146米,146,146.0,4760,35.04,35.04,整租 · 东安一村1居室-南,整租
26,45 ㎡05/6层1室1厅,徐汇,距1号线锦江乐园站766米,766,766.0,4300,45,45.0,整租 · 梅陇三村1居室-东南,整租
27,32 ㎡06/6层1室1厅,徐汇,距11号线龙华站234米,234,234.0,4560,32,32.0,整租 · 周家湾小区1居室-南,整租
28,33.92 ㎡03/4层1室1厅,徐汇,距4号线大木桥路站350米,350,350.0,4390,33.92,33.92,整租 · 西木小区1居室-南,整租
29,57 ㎡02/6层2室1厅,徐汇,距1号线上海南站站386米,386,386.0,5490,57,57.0,整租 · 康宁坊2居室-南,整租
30,39 ㎡02/5层1室1厅,徐汇,距1号线漕宝路站307米,307,307.0,4590,39,39.0,整租 · 康健路25弄1居室-南,整租
31,44 ㎡02/6层1室1厅,徐汇,距1号线锦江乐园站411米,411,411.0,4460,44,44.0,整租 · 花苑村丁香园1居室-南,整租
32,41 ㎡02/6层1室1厅,徐汇,距1号线锦江乐园站766米,766,766.0,3860,41,41.0,整租 · 梅陇三村1居室-南,整租
33,48.02 ㎡05/7层1室1厅,徐汇,距11号线龙耀路站602米,602,602.0,4390,48.02,48.02,整租 · 龙南三四村1居室-南,整租
34,54.54 ㎡14/30层1室1厅,徐汇,距9号线桂林路站817米,817,817.0,5490,54.54,54.54,整租 · 钦州花苑1居室-南,整租
35,32.39 ㎡05/5层1室1厅,徐汇,距3号线漕溪路站354米,354,354.0,4590,32.39,32.39,整租 · 漕溪一村1居室-南,整租
36,36.35 ㎡05/5层1室1厅,徐汇,距9号线嘉善路站137米,137,137.0,5060,36.35,36.35,整租 · 上影新村1居室-南,整租
37,41.75 ㎡06/6层1室1厅,徐汇,距1号线锦江乐园站505米,505,505.0,4490,41.75,41.75,整租 · 樱花园(徐汇)1居室-南,整租
38,47.88 ㎡04/7层2室1厅,徐汇,距1号线徐家汇站423米,423,423.0,6890,47.88,47.88,整租 · 乐山二村2居室-南,整租
39,47.88 ㎡06/7层2室1厅,徐汇,距1号线徐家汇站423米,423,423.0,6930,47.88,47.88,整租 · 乐山二村2居室-南北,整租
40,45.97 ㎡02/18层1室1厅,徐汇,距9号线桂林路站392米,392,392.0,5100,45.97,45.97,整租 · 田林十四村1居室-南,整租
41,29.39 ㎡05/5层1室1厅,徐汇,距4号线大木桥路站350米,350,350.0,4490,29.39,29.39,整租 · 西木小区1居室-南,整租
42,33 ㎡04/6层1室1厅,徐汇,距1号线上海南站站782米,782,782.0,3860,33,33.0,整租 · 汇成一村1居室-南,整租
43,33 ㎡05/6层1室1厅,徐汇,距3号线漕溪路站354米,354,354.0,4730,33,33.0,整租 · 漕溪一村1居室-南,整租
44,36 ㎡06/6层1室1厅,徐汇,距9号线桂林路站392米,392,392.0,4990,36,36.0,整租 · 田林十四村1居室-南,整租
45,37.6 ㎡03/6层1室1厅,徐汇,距9号线桂林路站392米,392,392.0,4990,37.6,37.6,整租 · 田林十四村1居室-南,整租
46,37.5 ㎡03/6层1室1厅,徐汇,距1号线上海南站站898米,898,898.0,3860,37.5,37.5,整租 · 汇成二村1居室-南,整租
47,41 ㎡06/6层1室1厅,徐汇,距9号线桂林路站461米,461,461.0,4900,41,41.0,整租 · 田林八村1居室-南,整租
48,56.74 ㎡06/7层1室1厅,徐汇,距9号线桂林路站434米,434,434.0,5590,56.74,56.74,整租 · 钦江路47弄1居室-南,整租
49,35.99 ㎡04/6层1室1厅,徐汇,距4号线东安路站488米,488,488.0,4460,35.99,35.99,整租 · 斜土路2200弄1居室-北,整租
50,48.5 ㎡02/5层2室1厅,徐汇,距4号线大木桥路站90米,90,90.0,6290,48.5,48.5,整租 · 江南新村(徐汇)2居室-南北,整租
51,47.72 ㎡4/5层2室1厅,徐汇,距4号线大木桥路站90米,90,90.0,6260,47.72,47.72,整租 · 江南新村(徐汇)2居室-南北,整租
52,32.1 ㎡06/6层1室1厅,徐汇,距9号线桂林路站326米,326,326.0,4890,32.1,32.1,整租 · 田林五村1居室-南,整租
53,34.9 ㎡02/6层1室1厅,徐汇,距3号线宜山路站281米,281,281.0,5090,34.9,34.9,整租 · 柿子湾小区1居室-南,整租
54,54 ㎡06/6层2室1厅,徐汇,距1号线漕宝路站573米,573,573.0,5560,54,54.0,整租 · 三江小区2居室-南北,整租
55,33 ㎡01/5层1室1厅,徐汇,距4号线大木桥路站90米,90,90.0,4490,33,33.0,整租 · 江南新村(徐汇)1居室-南,整租
56,38 ㎡05/7层1室1厅,徐汇,距1号线上海体育馆站227米,227,227.0,5260,38,38.0,整租 · 裕德路66弄1居室-南,整租
57,35 ㎡06/6层1室1厅,徐汇,距4号线上海体育场站612米,612,612.0,4530,35,35.0,整租 · 宛南二村1居室-南,整租
58,39.56 ㎡03/6层1室1厅,徐汇,距9号线桂林路站419米,419,419.0,4990,39.56,39.56,整租 · 田林花苑1居室-南,整租
59,61.21 ㎡09/20层1室1厅,徐汇,距9号线桂林路站122米,122,122.0,6190,61.21,61.21,整租 · 怡桂苑1居室-南,整租
60,45.03 ㎡02/6层2室1厅,徐汇,距4号线大木桥路站200米,200,200.0,6060,45.03,45.03,整租 · 日晖六村2居室-南,整租
61,47.44 ㎡03/6层2室1厅,徐汇,距1号线漕宝路站183米,183,183.0,6290,47.44,47.44,整租 · 龙漕路66弄2居室-南,整租
62,32 ㎡06/6层1室1厅,徐汇,距9号线桂林路站529米,529,529.0,4790,32,32.0,整租 · 田林三村1居室-南,整租
63,32.97 ㎡03/6层1室1厅,徐汇,距11号线徐家汇站327米,327,327.0,5060,32.97,32.97,整租 · 乐山四五村1居室-南,整租
64,52.74 ㎡06/7层2室1厅,徐汇,距1号线上海体育馆站227米,227,227.0,6390,52.74,52.74,整租 · 裕德路66弄2居室-南,整租
65,52 ㎡01/6层2室1厅,徐汇,距3号线龙漕路站173米,173,173.0,5490,52,52.0,整租 · 上缝小区2居室-南北,整租
66,32.18 ㎡03/5层1室1厅,徐汇,距4号线上海体育馆站236米,236,236.0,5390,32.18,32.18,整租 · 中原新村1居室-南,整租
67,57.12 ㎡04/5层2室1厅,徐汇,距1号线漕宝路站363米,363,363.0,6290,57.12,57.12,整租 · 漕溪二村2居室-南北,整租
68,38.19 ㎡06/6层1室1厅,徐汇,距1号线漕宝路站738米,738,738.0,4560,38.19,38.19,整租 · 漕泾一村1居室-南,整租
69,37.39 ㎡06/6层1室1厅,徐汇,距4号线虹桥路站498米,498,498.0,5190,37.39,37.39,整租 · 番禺小区1居室-南,整租
70,39.5 ㎡04/4层1室1厅,徐汇,距1号线上海南站站780米,780,780.0,4530,39.5,39.5,整租 · 康乐小区(徐汇)1居室-南,整租
71,35 ㎡06/6层1室1厅,徐汇,距12号线虹漕路站749米,749,749.0,4560,35,35.0,整租 · 桂康小区1居室-南,整租
72,45 ㎡05/6层1室1厅,徐汇,距9号线桂林路站748米,748,748.0,4990,45,45.0,整租 · 田林十一村1居室-南,整租
73,45 ㎡02/6层1室1厅,徐汇,距9号线桂林路站748米,748,748.0,4890,45,45.0,整租 · 田林十一村1居室-南,整租
74,47.56 ㎡06/6层1室1厅,徐汇,距12号线虹漕路站917米,917,917.0,4560,47.56,47.56,整租 · 杜鹃园1居室-南,整租
75,31 ㎡01/6层1室1厅,徐汇,距7号线东安路站188米,188,188.0,4360,31,31.0,整租 · 东安二村1居室-北,整租
76,55.11 ㎡01/6层2室1厅,徐汇,距4号线上海体育场站327米,327,327.0,7160,55.11,55.11,整租 · 王家堂小区2居室-南北,整租
77,47 ㎡04/6层2室1厅,徐汇,距11号线上海游泳馆站490米,490,490.0,5990,47,47.0,整租 · 宛南六村2居室-南,整租
78,22 ㎡06/6层1室1厅,徐汇,距4号线东安路站517米,517,517.0,4660,22,22.0,整租 · 东安四村1居室-南,整租
79,15 ㎡03/5层1室1厅,徐汇,距10号线上海图书馆站282米,282,282.0,5390,15,15.0,整租 · 吴兴路21弄1居室-南,整租
80,37.77 ㎡04/6层1室1厅,徐汇,距4号线宜山路站531米,531,531.0,5190,37.77,37.77,整租 · 南丹小区1居室-南,整租
81,58.31 ㎡05/6层2室1厅,徐汇,距7号线东安路站188米,188,188.0,6830,58.31,58.31,整租 · 东安二村2居室-南,整租
82,36.53 ㎡03/6层1室1厅,徐汇,距1号线漕宝路站782米,782,782.0,4660,36.53,36.53,整租 · 康健路120弄1居室-南,整租
83,48.35 ㎡16/20层1室1厅,徐汇,距11号线徐家汇站293米,293,293.0,219,48.35,48.35,整租 · 天平小区1居室-西,整租
84,29 ㎡06/6层1室1厅,徐汇,距9号线桂林路站503米,503,503.0,4860,29,29.0,整租 · 田林十三村1居室-南,整租
85,65 ㎡06/8层3室1厅,徐汇,距11号线龙华站317米,317,317.0,7240,65,65.0,整租 · 华龙新苑小区3居室-南,整租
