,district,type,metro_num,S,mon_price,聚类类别,density
0,徐汇,整租,173.0,42.0,4830,高端房源,19889
1,徐汇,整租,757.0,68.65,5130,高端房源,19889
2,徐汇,整租,236.0,30.37,4690,高端房源,19889
3,徐汇,整租,243.0,49.15,4790,高端房源,19889
4,徐汇,整租,488.0,33.17,4490,高端房源,19889
5,徐汇,整租,552.0,71.45,6130,豪宅,19889
6,徐汇,整租,200.0,23.09,3960,高端房源,19889
7,徐汇,整租,547.0,34.71,4530,高端房源,19889
8,徐汇,整租,782.0,54.0,5190,高端房源,19889
9,徐汇,整租,188.0,40.76,6130,高端房源,19889
10,徐汇,整租,423.0,32.5,5970,高端房源,19889
11,徐汇,整租,281.0,41.23,4690,高端房源,19889
12,徐汇,整租,552.0,64.0,5160,高端房源,19889
13,徐汇,整租,188.0,33.72,4730,高端房源,19889
14,徐汇,整租,379.0,59.91,4560,高端房源,19889
15,徐汇,整租,188.0,36.37,4230,高端房源,19889
16,徐汇,整租,173.0,40.0,4590,高端房源,19889
17,徐汇,整租,188.0,41.0,4490,高端房源,19889
18,徐汇,整租,321.0,33.21,4560,高端房源,19889
19,徐汇,整租,227.0,32.1,5690,高端房源,19889
20,徐汇,整租,85.0,33.0,4490,高端房源,19889
21,徐汇,整租,386.0,41.0,4360,高端房源,19889
22,徐汇,整租,90.0,42.0,4990,高端房源,19889
23,徐汇,整租,90.0,45.93,5160,高端房源,19889
24,徐汇,整租,252.0,33.86,4960,高端房源,19889
25,徐汇,整租,146.0,35.04,4760,高端房源,19889
26,徐汇,整租,766.0,45.0,4300,高端房源,19889
27,徐汇,整租,234.0,32.0,4560,高端房源,19889
28,徐汇,整租,350.0,33.92,4390,高端房源,19889
29,徐汇,整租,386.0,57.0,5490,高端房源,19889
30,徐汇,整租,307.0,39.0,4590,高端房源,19889
31,徐汇,整租,411.0,44.0,4460,高端房源,19889
32,徐汇,整租,766.0,41.0,3860,高端房源,19889
33,徐汇,整租,602.0,48.02,4390,高端房源,19889
34,徐汇,整租,817.0,54.54,5490,高端房源,19889
35,徐汇,整租,354.0,32.39,4590,高端房源,19889
36,徐汇,整租,137.0,36.35,5060,高端房源,19889
37,徐汇,整租,505.0,41.75,4490,高端房源,19889
38,徐汇,整租,423.0,47.88,6890,高端房源,19889
39,徐汇,整租,423.0,47.88,6930,高端房源,19889
40,徐汇,整租,392.0,45.97,5100,高端房源,19889
41,徐汇,整租,350.0,29.39,4490,高端房源,19889
42,徐汇,整租,782.0,33.0,3860,高端房源,19889
43,徐汇,整租,354.0,33.0,4730,高端房源,19889
44,徐汇,整租,392.0,36.0,4990,高端房源,19889
45,徐汇,整租,392.0,37.6,4990,高端房源,19889
46,徐汇,整租,898.0,37.5,3860,高端房源,19889
47,徐汇,整租,461.0,41.0,4900,高端房源,19889
48,徐汇,整租,434.0,56.74,5590,高端房源,19889
49,徐汇,整租,488.0,35.99,4460,高端房源,19889
50,徐汇,整租,90.0,48.5,6290,高端房源,19889
51,徐汇,整租,90.0,47.72,6260,高端房源,19889
52,徐汇,整租,326.0,32.1,4890,高端房源,19889
53,徐汇,整租,281.0,34.9,5090,高端房源,19889
54,徐汇,整租,573.0,54.0,5560,高端房源,19889
55,徐汇,整租,90.0,33.0,4490,高端房源,19889
56,徐汇,整租,227.0,38.0,5260,高端房源,19889
57,徐汇,整租,612.0,35.0,4530,高端房源,19889
58,徐汇,整租,419.0,39.56,4990,高端房源,19889
59,徐汇,整租,122.0,61.21,6190,豪宅,19889
60,徐汇,整租,200.0,45.03,6060,高端房源,19889
61,徐汇,整租,183.0,47.44,6290,高端房源,19889
62,徐汇,整租,529.0,32.0,4790,高端房源,19889
63,徐汇,整租,327.0,32.97,5060,高端房源,19889
64,徐汇,整租,227.0,52.74,6390,高端房源,19889
65,徐汇,整租,173.0,52.0,5490,高端房源,19889
66,徐汇,整租,236.0,32.18,5390,高端房源,19889
67,徐汇,整租,363.0,57.12,6290,高端房源,19889
68,徐汇,整租,738.0,38.19,4560,高端房源,19889
69,徐汇,整租,498.0,37.39,5190,高端房源,19889
70,徐汇,整租,780.0,39.5,4530,高端房源,19889
71,徐汇,整租,749.0,35.0,4560,高端房源,19889
72,徐汇,整租,748.0,45.0,4990,高端房源,19889
73,徐汇,整租,748.0,45.0,4890,高端房源,19889
74,徐汇,整租,917.0,47.56,4560,高端房源,19889
75,徐汇,整租,188.0,31.0,4360,高端房源,19889
76,徐汇,整租,327.0,55.11,7160,豪宅,19889
77,徐汇,整租,490.0,47.0,5990,高端房源,19889
78,徐汇,整租,517.0,22.0,4660,高端房源,19889
79,徐汇,整租,282.0,15.0,5390,高端房源,19889
80,徐汇,整租,531.0,37.77,5190,高端房源,19889
81,徐汇,整租,188.0,58.31,6830,豪宅,19889
82,徐汇,整租,782.0,36.53,4660,高端房源,19889
83,徐汇,整租,293.0,48.35,6570,高端房源,19889
84,徐汇,整租,503.0,29.0,4860,高端房源,19889
85,徐汇,整租,317.0,65.0,7240,豪宅,19889
86,徐汇,整租,279.0,69.98,6590,豪宅,19889
87,徐汇,整租,513.0,34.33,5090,高端房源,19889
88,徐汇,整租,200.0,33.83,4790,高端房源,19889
89,徐汇,整租,791.0,62.28,5690,高端房源,19889
90,徐汇,整租,614.0,30.0,4890,高端房源,19889
91,徐汇,整租,319.0,32.0,5590,高端房源,19889
92,徐汇,整租,1007.0,59.7,5390,高端房源,19889
93,徐汇,整租,329.0,37.17,5730,高端房源,19889
94,徐汇,整租,517.0,29.0,5390,高端房源,19889
95,徐汇,整租,227.0,55.47,6890,豪宅,19889
96,徐汇,整租,554.0,36.31,4230,高端房源,19889
97,徐汇,整租,1293.0,55.0,4990,高端房源,19889
98,徐汇,整租,673.0,70.78,6260,豪宅,19889
99,徐汇,整租,789.0,45.0,5290,高端房源,19889
100,徐汇,整租,321.0,88.2,10470,豪宅,19889
101,徐汇,整租,406.0,29.76,4260,高端房源,19889
102,徐汇,整租,1425.0,75.0,5290,豪宅,19889
103,徐汇,整租,748.0,30.0,4890,高端房源,19889
104,徐汇,整租,589.0,34.35,5290,高端房源,19889
105,徐汇,整租,278.0,82.38,7890,豪宅,19889
106,徐汇,整租,567.0,129.14,10560,豪宅,19889
107,徐汇,整租,157.0,36.6,5290,高端房源,19889
108,徐汇,整租,503.0,36.0,5460,高端房源,19889
109,徐汇,整租,1581.0,42.0,3730,高端房源,19889
110,徐汇,整租,1134.0,62.7,5590,高端房源,19889
111,徐汇,整租,157.0,40.0,5590,高端房源,19889
112,徐汇,整租,1149.0,42.0,4560,高端房源,19889
113,徐汇,整租,317.0,63.7,6030,豪宅,19889
114,徐汇,整租,1170.0,42.55,4460,高端房源,19889
115,徐汇,整租,554.0,63.75,8030,豪宅,19889
116,徐汇,整租,614.0,70.0,5990,豪宅,19889
117,徐汇,整租,715.0,48.0,5890,高端房源,19889
118,徐汇,整租,432.0,35.07,5490,高端房源,19889
119,徐汇,整租,748.0,29.0,4930,高端房源,19889
120,徐汇,整租,748.0,34.32,5090,高端房源,19889
121,徐汇,整租,667.0,49.72,4460,高端房源,19889
122,徐汇,整租,517.0,63.9,6990,豪宅,19889
123,徐汇,整租,327.0,48.48,6890,高端房源,19889
124,徐汇,整租,524.0,15.6,4560,高端房源,19889
125,徐汇,整租,104.0,64.0,7530,豪宅,19889
126,徐汇,整租,951.0,32.06,3930,高端房源,19889
127,徐汇,整租,529.0,35.0,4890,高端房源,19889
128,徐汇,整租,1702.0,42.0,3730,高端房源,19889
129,徐汇,整租,1508.0,81.0,5500,豪宅,19889
130,徐汇,整租,122.0,84.0,8390,豪宅,19889
131,徐汇,整租,236.0,28.14,5260,高端房源,19889
132,徐汇,整租,503.0,27.6,4760,高端房源,19889
133,徐汇,整租,1647.0,33.46,3790,高端房源,19889
134,徐汇,整租,1764.0,35.98,3630,交通不便普通,19889
135,徐汇,整租,173.0,37.0,4860,高端房源,19889
136,徐汇,整租,782.0,70.0,6880,豪宅,19889
137,徐汇,整租,240.0,41.0,6830,高端房源,19889
138,徐汇,整租,104.0,54.64,7430,豪宅,19889
139,徐汇,整租,381.0,29.27,5290,高端房源,19889
140,徐汇,整租,360.0,40.0,5460,高端房源,19889
141,徐汇,整租,748.0,60.0,6660,豪宅,19889
142,徐汇,整租,544.0,51.44,6090,高端房源,19889
143,徐汇,整租,252.0,35.3,4830,高端房源,19889
144,徐汇,整租,1921.0,40.0,3690,交通不便普通,19889
145,徐汇,整租,184.0,51.0,7390,豪宅,19889
146,徐汇,整租,404.0,61.0,7690,豪宅,19889
147,徐汇,整租,541.0,39.66,6690,高端房源,19889
148,徐汇,整租,48.0,104.66,16230,豪宅,19889
149,徐汇,整租,614.0,60.0,6590,豪宅,19889
150,徐汇,整租,817.0,74.0,7090,豪宅,19889
151,徐汇,整租,1149.0,41.0,4490,高端房源,19889
152,徐汇,整租,531.0,28.34,5290,高端房源,19889
153,徐汇,整租,480.0,45.03,5530,高端房源,19889
154,徐汇,整租,540.0,50.0,7590,豪宅,19889
155,徐汇,整租,314.0,37.95,6000,高端房源,19889
156,徐汇,整租,2148.0,45.0,3930,交通不便普通,19889
157,徐汇,整租,1134.0,28.5,4390,高端房源,19889
158,徐汇,整租,67.0,32.0,7790,高端房源,19889
159,徐汇,整租,119.0,140.0,10490,豪宅,19889
160,徐汇,整租,87.0,55.73,5790,高端房源,19889
161,徐汇,整租,589.0,25.54,4660,高端房源,19889
162,徐汇,整租,531.0,34.0,4990,高端房源,19889
163,徐汇,整租,608.0,62.12,7690,豪宅,19889
164,徐汇,整租,321.0,26.0,5390,高端房源,19889
165,徐汇,整租,276.0,95.0,9930,豪宅,19889
166,徐汇,整租,311.0,59.78,8390,豪宅,19889
167,徐汇,整租,253.0,135.01,12660,豪宅,19889
168,徐汇,整租,358.0,84.6,11360,豪宅,19889
169,徐汇,整租,554.0,112.0,8990,豪宅,19889
170,徐汇,整租,1559.0,41.71,3930,高端房源,19889
171,徐汇,整租,406.0,53.19,6590,高端房源,19889
172,徐汇,整租,176.0,69.07,9360,豪宅,19889
173,徐汇,整租,614.0,29.66,5300,高端房源,19889
174,徐汇,整租,293.0,61.57,7290,豪宅,19889
175,徐汇,整租,176.0,80.01,9890,豪宅,19889
176,徐汇,整租,520.0,50.06,7590,豪宅,19889
177,徐汇,整租,253.0,125.0,12890,豪宅,19889
178,徐汇,整租,188.0,86.0,10590,豪宅,19889
179,徐汇,整租,176.0,95.0,11790,豪宅,19889
180,徐汇,整租,341.0,129.0,12890,豪宅,19889
181,徐汇,整租,546.0,95.0,10630,豪宅,19889
182,徐汇,整租,486.0,93.62,10490,豪宅,19889
183,徐汇,整租,280.0,95.29,11790,豪宅,19889
184,徐汇,整租,686.0,117.0,12090,豪宅,19889
185,徐汇,整租,650.0,59.91,9360,豪宅,19889
186,徐汇,整租,416.0,92.22,10900,豪宅,19889
187,徐汇,整租,628.0,67.0,9890,豪宅,19889
188,徐汇,整租,388.0,60.74,8590,豪宅,19889
189,徐汇,整租,388.0,60.47,8860,豪宅,19889
190,徐汇,整租,344.0,85.13,14990,豪宅,19889
191,徐汇,整租,641.0,78.0,4630,豪宅,19889
192,徐汇,整租,326.0,40.86,5070,高端房源,19889
193,徐汇,整租,547.0,28.66,4490,高端房源,19889
194,徐汇,整租,780.0,37.02,4490,高端房源,19889
195,徐汇,整租,490.0,30.0,4390,高端房源,19889
196,徐汇,整租,554.0,51.38,5160,高端房源,19889
197,徐汇,整租,188.0,43.16,6260,高端房源,19889
198,徐汇,整租,243.0,63.1,6590,豪宅,19889
199,徐汇,整租,188.0,31.68,4660,高端房源,19889
200,徐汇,整租,143.0,62.89,7130,豪宅,19889
201,徐汇,整租,379.0,52.96,6430,高端房源,19889
202,徐汇,整租,589.0,34.35,5290,高端房源,19889
203,徐汇,整租,222.0,37.25,4590,高端房源,19889
204,徐汇,整租,231.0,80.92,7660,豪宅,19889
205,徐汇,整租,386.0,41.0,4460,高端房源,19889
206,徐汇,整租,281.0,55.95,7390,豪宅,19889
207,徐汇,整租,817.0,79.84,6990,豪宅,19889
208,徐汇,整租,339.0,37.88,5390,高端房源,19889
209,徐汇,整租,243.0,48.69,5530,高端房源,19889
210,徐汇,整租,234.0,30.0,4690,高端房源,19889
211,徐汇,整租,505.0,56.01,5360,高端房源,19889
212,徐汇,整租,98.0,36.0,5290,高端房源,19889
213,徐汇,整租,59.0,30.0,4530,高端房源,19889
214,徐汇,整租,782.0,60.0,5190,高端房源,19889
215,徐汇,整租,602.0,41.0,4230,高端房源,19889
216,徐汇,整租,758.0,55.0,4290,高端房源,19889
217,徐汇,整租,766.0,57.72,5660,高端房源,19889
218,徐汇,整租,252.0,35.3,4660,高端房源,19889
219,徐汇,整租,191.0,82.0,7190,豪宅,19889
220,徐汇,整租,363.0,37.22,4890,高端房源,19889
221,徐汇,整租,157.0,41.45,5590,高端房源,19889
222,徐汇,整租,254.0,51.97,6690,高端房源,19889
223,徐汇,整租,431.0,37.59,4990,高端房源,19889
224,徐汇,整租,1196.0,60.0,4890,高端房源,19889
225,徐汇,整租,157.0,60.0,6930,豪宅,19889
226,徐汇,整租,531.0,22.7,4290,高端房源,19889
227,徐汇,整租,527.0,47.61,5390,高端房源,19889
228,徐汇,整租,881.0,54.2,4890,高端房源,19889
229,徐汇,整租,1149.0,50.75,4390,高端房源,19889
230,徐汇,整租,329.0,48.0,6160,高端房源,19889
231,徐汇,整租,614.0,35.0,4890,高端房源,19889
232,徐汇,整租,830.0,39.0,4560,高端房源,19889
233,徐汇,整租,329.0,63.76,6990,豪宅,19889
234,徐汇,整租,531.0,37.0,5490,高端房源,19889
235,徐汇,整租,614.0,49.78,6130,高端房源,19889
236,徐汇,整租,518.0,42.56,5860,高端房源,19889
237,徐汇,整租,374.0,43.27,6220,高端房源,19889
238,徐汇,整租,87.0,56.25,6890,豪宅,19889
239,徐汇,整租,350.0,69.22,7690,豪宅,19889
240,徐汇,整租,541.0,39.66,6230,高端房源,19889
241,徐汇,整租,517.0,45.3,6690,高端房源,19889
242,徐汇,整租,431.0,50.0,7160,豪宅,19889
243,徐汇,整租,243.0,89.0,9730,豪宅,19889
244,徐汇,整租,677.0,48.0,5090,高端房源,19889
245,徐汇,整租,188.0,67.0,9490,豪宅,19889
246,徐汇,整租,423.0,45.41,6290,高端房源,19889
247,徐汇,整租,184.0,56.0,7630,豪宅,19889
248,徐汇,整租,1921.0,38.0,3690,交通不便普通,19889
249,徐汇,整租,280.0,104.85,10490,豪宅,19889
250,闵行,整租,259.0,95.0,3860,豪宅,6845
251,闵行,整租,506.0,69.61,4590,高端房源,6845
252,闵行,整租,256.0,59.08,3030,高端房源,6845
253,闵行,整租,299.0,80.0,3990,高端房源,6845
254,闵行,整租,340.0,32.8,3790,高端房源,6845
255,闵行,整租,256.0,38.0,2460,高端房源,6845
256,闵行,整租,643.0,72.0,2890,高端房源,6845
257,闵行,整租,1137.0,35.62,2590,高端房源,6845
258,闵行,整租,553.0,43.92,3990,高端房源,6845
259,闵行,整租,256.0,34.83,2460,高端房源,6845
260,闵行,整租,695.0,60.71,4530,高端房源,6845
261,闵行,整租,526.0,37.09,3990,高端房源,6845
262,闵行,整租,704.0,62.38,4790,高端房源,6845
263,闵行,整租,283.0,65.44,5990,豪宅,6845
264,闵行,整租,643.0,71.0,3390,高端房源,6845
265,闵行,整租,339.0,36.49,4590,高端房源,6845
266,闵行,整租,784.0,80.0,3730,高端房源,6845
267,闵行,整租,283.0,66.14,6230,豪宅,6845
268,闵行,整租,643.0,49.0,2530,高端房源,6845
269,闵行,整租,846.0,74.79,3290,高端房源,6845
270,闵行,整租,695.0,54.44,4630,高端房源,6845
271,闵行,整租,841.0,69.13,3590,高端房源,6845
272,闵行,整租,841.0,70.0,3630,高端房源,6845
273,闵行,整租,841.0,70.0,3630,高端房源,6845
274,闵行,整租,1443.0,30.0,2490,交通不便普通,6845
275,闵行,整租,806.0,55.0,2960,高端房源,6845
276,闵行,整租,1182.0,90.0,3590,豪宅,6845
277,闵行,整租,798.0,53.04,3230,高端房源,6845
278,闵行,整租,841.0,70.0,3590,高端房源,6845
279,闵行,整租,841.0,70.0,3590,高端房源,6845
280,闵行,整租,841.0,70.0,3590,高端房源,6845
281,闵行,整租,841.0,70.0,3590,高端房源,6845
282,闵行,整租,841.0,70.0,3590,高端房源,6845
283,闵行,整租,841.0,72.0,3590,高端房源,6845
284,闵行,整租,841.0,71.0,3460,高端房源,6845
285,闵行,整租,225.0,93.0,5600,豪宅,6845
286,闵行,整租,792.0,74.03,5790,豪宅,6845
287,闵行,整租,1497.0,47.17,3590,高端房源,6845
288,闵行,整租,841.0,55.0,2790,高端房源,6845
289,闵行,整租,841.0,55.0,2790,高端房源,6845
290,闵行,整租,846.0,60.0,2860,高端房源,6845
291,闵行,整租,995.0,62.0,3160,高端房源,6845
292,闵行,整租,841.0,66.0,3590,高端房源,6845
293,闵行,整租,841.0,66.0,3590,高端房源,6845
294,闵行,整租,841.0,70.0,3630,高端房源,6845
295,闵行,整租,1117.0,71.0,3490,高端房源,6845
296,闵行,整租,841.0,50.0,2890,高端房源,6845
297,闵行,整租,144.0,45.0,4530,高端房源,6845
298,闵行,整租,104.0,67.16,5590,豪宅,6845
299,闵行,整租,1379.0,62.12,4330,高端房源,6845
300,闵行,整租,1379.0,62.7,4230,高端房源,6845
301,闵行,整租,501.0,77.17,6500,豪宅,6845
302,闵行,整租,335.0,37.0,3800,高端房源,6845
303,闵行,整租,187.0,62.0,5530,高端房源,6845
304,闵行,整租,104.0,64.64,5590,高端房源,6845
305,闵行,整租,1503.0,80.46,4690,豪宅,6845
306,闵行,整租,187.0,42.0,4590,高端房源,6845
307,闵行,整租,144.0,45.0,4790,高端房源,6845
308,闵行,整租,798.0,52.9,3160,高端房源,6845
309,闵行,整租,1137.0,53.0,3390,高端房源,6845
310,闵行,整租,746.0,99.95,5390,豪宅,6845
311,闵行,整租,423.0,58.0,4990,高端房源,6845
312,闵行,整租,1452.0,73.6,3090,高端房源,6845
313,闵行,整租,694.0,61.0,4690,高端房源,6845
314,闵行,整租,694.0,44.0,3750,高端房源,6845
315,闵行,整租,1137.0,47.0,3390,高端房源,6845
316,闵行,整租,693.0,49.0,3390,高端房源,6845
317,闵行,整租,870.0,56.0,4250,高端房源,6845
